分類	画面名	タスク	概要	対象プラットフォーム	優先度	工数(人月)	画面ID	実装区分	ナビゲーションバー	元々存在	更新理由	削除フラグ
全般	汎用WebView画面	WebView表示	WebView表示機能の実装	HDBアプリ（iOS、Android）	A	
全般	汎用WebView画面	SSO認証処理	SSO認証処理の実装	HDBアプリ（iOS、Android）	A	
全般	スプラッシュ画面	画面	スプラッシュ画面表示と初期化処理	HDBアプリ（iOS、Android）	A	0.5
全般	スプラッシュ画面	ロゴ表示	ロゴ表示の実装	HDBアプリ（iOS、Android）	A	
全般	スプラッシュ画面	Firebase設定取得	Firebase設定取得処理の実装	HDBアプリ（iOS、Android）	A	
全般	スプラッシュ画面	デバイス情報登録	デバイス情報登録処理の実装	HDBアプリ（iOS、Android）	A		1	アプリ		○		
バイタル管理	1日の歩数のバイタルデータ一覧画面	画面	1日の歩数データの詳細一覧	HDBアプリ（iOS、Android）	A	0.5	10	アプリ			受領_画面一覧.tsvから追加	
バイタル管理	バイタルデータ一覧画面 (体脂肪率)	画面	体脂肪率データの一覧表示	HDBアプリ（iOS、Android）	A	0.5	12	アプリ	✔		受領_画面一覧.tsvから追加	
バイタル管理	バイタルデータ一覧画面 (心拍数)	画面	心拍数データの一覧表示	HDBアプリ（iOS、Android）	A	0.5	14	アプリ	✔		受領_画面一覧.tsvから追加	
バイタル管理	1日の心拍数のバイタルデータ一覧画面	画面	1日の心拍数データの詳細一覧	HDBアプリ（iOS、Android）	A	0.5	15	アプリ			受領_画面一覧.tsvから追加	
メニュー	お知らせ画面	画面	お知らせ表示	HDBアプリ（iOS、Android）	A	0.5	18	Webビュー			受領_画面一覧.tsvから追加	
メニュー	利用規約	画面	利用規約表示	HDBアプリ（iOS、Android）	A	0.5	24	Webビュー			受領_画面一覧.tsvから追加	
メニュー	プライバシーポリシー画面	画面	プライバシーポリシー表示	HDBアプリ（iOS、Android）	A	0.5	25	Webビュー			受領_画面一覧.tsvから追加	
メニュー	オープンソースライセンス画面	画面	オープンソースライセンス表示	HDBアプリ（iOS、Android）	A	0.5	26	Webビュー			受領_画面一覧.tsvから追加	
メニュー	アプリの使い方画面	画面	アプリの使い方表示	HDBアプリ（iOS、Android）	A	0.5	27	Webビュー			受領_画面一覧.tsvから追加	
メニュー	よくあるご質問画面	画面	よくあるご質問表示	HDBアプリ（iOS、Android）	A	0.5	28	Webビュー			受領_画面一覧.tsvから追加	
メニュー	データ削除について	画面	データ削除についての説明	HDBアプリ（iOS、Android）	A	0.5	31	Webビュー			受領_画面一覧.tsvから追加	
メニュー	ログアウト	画面	ログアウト確認ダイアログ	HDBアプリ（iOS、Android）	A	0.5	32	アプリ			受領_画面一覧.tsvから追加	
